"Name","Description","Short Description","Product Status","Permalink","Categories","Tags","SKU","Sale Price","Visibility","Stock Status","Price","Regular Price","Total Sales","Downloadable","Virtual","Purchase Note","Weight","Length","Width","Height","Sold Individually","Manage Stock","Stock","Backorders","Featured","Tax Status","Tax Class","Images","Download Limit","Download Expiry","File Path","Product URL","Product Type","Shipping Class","Comment Status","Ping Status"
"艾尔邦尼 儿童蜂蜜 500g","<a href=""http://kshop/wp-content/uploads/2015/11/airborne_kids_500g_memo.png""><img class=""alignnone size-full wp-image-2678"" src=""http://kshop/wp-content/uploads/2015/11/airborne_kids_500g_memo.png"" alt=""airborne_kids_500g_memo"" width=""885"" height=""562"" /></a>","","publish","http://kshop/product/%e8%89%be%e5%b0%94%e9%82%a6%e5%b0%bc-%e5%84%bf%e7%ab%a5%e8%9c%82%e8%9c%9c-500g/","儿童蜂蜜","","","9.5","visible","instock","9.5","14","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/airborne_kids_500g.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉3段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/3duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2463"" src=""http://kshop/wp-content/uploads/2015/11/3duan_karicre_memo.jpg"" alt=""3duan_karicre_memo"" width=""732"" height=""1708"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%893%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","三段(1-2岁）","","","220","visible","instock","220","330","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/3duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉2段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/2duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2459"" src=""http://kshop/wp-content/uploads/2015/11/2duan_karicre_memo.jpg"" alt=""2duan_karicre_memo"" width=""732"" height=""1778"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%892%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","二段 (6-12个月)","","","230","visible","instock","230","245","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/2duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康金装奶粉1段6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/1duan_karicre_memo.jpg""><img class=""alignnone size-full wp-image-2457"" src=""http://kshop/wp-content/uploads/2015/11/1duan_karicre_memo.jpg"" alt=""1duan_karicre_memo"" width=""726"" height=""1775"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7%e9%87%91%e8%a3%85%e5%a5%b6%e7%b2%891%e6%ae%b56%e7%bd%90%e5%8c%85%e9%82%ae/","一段(0-6个月）","","","230","visible","instock","230","245","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/1duan_karicaree.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 羊奶粉 3段 900克*6罐 包邮","<a href=""http://kshop/wp-content/uploads/2015/11/3duan_karicare_goat_memo.png""><img class=""alignnone size-full wp-image-2682"" src=""http://kshop/wp-content/uploads/2015/11/3duan_karicare_goat_memo.png"" alt=""3duan_karicare_goat_memo"" width=""938"" height=""714"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-%e7%be%8a%e5%a5%b6%e7%b2%89-3%e6%ae%b5-900%e5%85%8b6%e7%bd%90-%e5%8c%85%e9%82%ae/","三段(1-2岁）","","","355","visible","instock","355","532","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/3duan_karicare_goat.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 羊奶粉 2段 900克*6罐 包邮","&nbsp;
<div class=""inside""></div>
<a href=""http://kshop/wp-content/uploads/2015/11/2duan_karicare_goat_memo.png""><img class=""alignnone size-full wp-image-2676"" src=""http://kshop/wp-content/uploads/2015/11/2duan_karicare_goat_memo.png"" alt=""2duan_karicare_goat_memo"" width=""945"" height=""768"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-%e7%be%8a%e5%a5%b6%e7%b2%89-2%e6%ae%b5-900%e5%85%8b6%e7%bd%90-%e5%8c%85%e9%82%ae/","二段 (6-12个月)","","","337","visible","instock","337","505","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/2duan_karicare_goat.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 羊奶粉 1段 900克*6罐","<a href=""http://kshop/wp-content/uploads/2015/11/1duan_karicare_goat_memo.png""><img class=""alignnone size-full wp-image-2671"" src=""http://kshop/wp-content/uploads/2015/11/1duan_karicare_goat_memo.png"" alt=""1duan_karicare_goat_memo"" width=""941"" height=""756"" /></a>","","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-%e7%be%8a%e5%a5%b6%e7%b2%89-1%e6%ae%b5-900%e5%85%8b6%e7%bd%90/","一段(0-6个月）","","","350","visible","instock","350","360","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/1duan_karicare_goat.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装3段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/3duan_aptamil_memo2.jpg""><img class=""alignnone size-full wp-image-2443"" src=""http://kshop/wp-content/uploads/2015/11/3duan_aptamil_memo2.jpg"" alt=""3duan_aptamil_memo"" width=""787"" height=""2764"" /></a>","<strong>【名称】新西兰</strong>KaricareAptamil<strong>爱他美金装加强婴儿奶粉 3段</strong>

<strong>【规格】900克/罐
【产地】新西兰
【适用】1岁以上
【存储】请放在阴凉干燥处，开封后4周内吃完</strong>","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-aptamil%e9%87%91%e8%a3%853%e6%ae%b5%e5%a5%b6%e7%b2%896%e7%bd%90%e5%8c%85%e9%82%ae/","三段(1-2岁）","","","250","visible","instock","250","260","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/3duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装2段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/2duanmemo.jpg""><img class=""alignnone size-full wp-image-2437"" src=""http://kshop/wp-content/uploads/2015/11/2duanmemo.jpg"" alt=""2duanmemo"" width=""785"" height=""5270"" /></a>","<div><strong>【名称】Karicare升级版：爱他美金装加强婴儿奶粉（6--12个月）</strong></div>
<div><strong>【规格】900克/罐</strong></div>
<div><strong>【产地】新西兰</strong></div>
<div><strong>【适用】6-12个月</strong></div>
<div><strong>【存储】请放在阴凉干燥处，开封后4周内吃完</strong></div>","publish","http://kshop/product/%e5%8f%af%e7%91%9e%e5%ba%b7-aptamil%e7%88%b1%e4%bb%96%e7%be%8e%e9%87%91%e8%a3%852%e6%ae%b5%e5%a9%b4%e5%b9%bc%e5%84%bf%e5%a5%b6%e7%b2%89/","二段 (6-12个月)","","","280","visible","instock","280","290","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/2duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"可瑞康 Aptamil金装1段奶粉6罐包邮","<a href=""http://kshop/wp-content/uploads/2015/11/1duanmemo.jpg""><img class=""alignnone size-full wp-image-2433"" src=""http://kshop/wp-content/uploads/2015/11/1duanmemo.jpg"" alt=""1duanmemo"" width=""790"" height=""1317"" /></a>","<div><strong>【名称】Karicare升级版：爱他美金装加强婴儿奶粉1段（0--6个月）</strong></div>
<div><strong>【规格】900克/罐</strong></div>
<div><strong>【产地】新西兰</strong></div>
<div><strong>【适用】0-6个月</strong></div>
<div><strong>【存储】请放在阴凉干燥处，开封后4周内吃完</strong></div>","publish","http://kshop/product/%e7%88%b1%e4%bb%96%e7%be%8e1%e6%ae%b5%e7%89%9b%e5%a5%b6%e7%b2%89%e6%95%b4%e7%ae%b16%e7%bd%90/","一段(0-6个月）","","","270","visible","instock","270","290","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/1duan_aptamil.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
